id,book_url,Book-Title,Book-Author,author_url,score,ISBN,rating,rating_count,review_count,page_count,year,genres
28186,/book/show/28186.The_Sea_of_Monsters,"The Sea of Monsters (Percy Jackson and the Olympians, #2)",Rick Riordan,https://www.goodreads.com/author/show/15872.Rick_Riordan,82179,9780786856862,4.24,717600,25902,279,2006,Fantasy
561456,/book/show/561456.The_Titan_s_Curse,"The Titan's Curse (Percy Jackson and the Olympians, #3)",Rick Riordan,https://www.goodreads.com/author/show/15872.Rick_Riordan,82114,9780141382890,4.35,656592,20147,320,2007,Fantasy
7763,/book/show/7763.The_Joy_Luck_Club,The Joy Luck Club,Amy Tan,https://www.goodreads.com/author/show/5246.Amy_Tan,81845,9780143038092,3.93,590245,9020,288,2006,Fiction
13023,/book/show/13023.Alice_in_Wonderland,Alice in Wonderland,Jane Carruth,https://www.goodreads.com/author/show/34933.Jane_Carruth,81270,9780517223628,4.03,370083,5348,92,2004,Classics
1852,/book/show/1852.The_Call_of_the_Wild,The Call of the Wild,Jack London,https://www.goodreads.com/author/show/1240.Jack_London,80550,9780439227148,3.87,330276,10706,172,2001,Classics
71728,/book/show/71728.Jonathan_Livingston_Seagull,Jonathan Livingston Seagull,Richard Bach,https://www.goodreads.com/author/show/16904.Richard_Bach,80428,9780743278904,3.84,196608,7693,112,2006,Fiction
2175,/book/show/2175.Madame_Bovary,Madame Bovary,Gustave Flaubert,https://www.goodreads.com/author/show/1461.Gustave_Flaubert,79793,9780192840394,3.68,245171,10267,329,2004,Classics
378,/book/show/378.The_Phantom_Tollbooth,The Phantom Tollbooth,Norton Juster,https://www.goodreads.com/author/show/214.Norton_Juster,79486,9780394820378,4.21,230921,10062,256,1996,Fantasy
40940121,/book/show/40940121-bridge-to-terabithia,Bridge to Terabithia,Katherine Paterson,https://www.goodreads.com/author/show/1949.Katherine_Paterson,78651,null,4.01,432477,12133,190,2009,Young Adult
191139,/book/show/191139.Oh_the_Places_You_ll_Go_,"Oh, the Places You'll Go!",Dr. Seuss,https://www.goodreads.com/author/show/61105.Dr_Seuss,78563,9780679805274,4.36,318637,5158,44,1990,Childrens
5060378,/book/show/5060378-the-girl-who-played-with-fire,"The Girl Who Played with Fire (Millennium, #2)",Stieg Larsson,https://www.goodreads.com/author/show/706255.Stieg_Larsson,78291,9780307269980,4.24,793842,33890,503,2009,Fiction
7938275,/book/show/7938275-the-hunger-games-trilogy-boxset,"The Hunger Games Trilogy Boxset (The Hunger Games, #1-3)",Suzanne Collins,https://www.goodreads.com/author/show/153394.Suzanne_Collins,78030,9780545265355,4.48,185318,6824,1155,2010,Young Adult
6186357,/book/show/6186357-the-maze-runner,"The Maze Runner (The Maze Runner, #1)",James Dashner,https://www.goodreads.com/author/show/348878.James_Dashner,77791,9780385737944,4.02,1015303,55201,384,2009,Young Adult
18254,/book/show/18254.Oliver_Twist,Oliver Twist,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,77502,null,3.87,311169,7281,608,2003,Classics
338798,/book/show/338798.Ulysses,Ulysses,James Joyce,https://www.goodreads.com/author/show/5144.James_Joyce,76957,null,3.73,107514,6603,783,1990,Classics
27712,/book/show/27712.The_Neverending_Story,The Neverending Story,Michael Ende,https://www.goodreads.com/author/show/15619.Michael_Ende,76535,9780525457589,4.18,157501,6322,396,1997,Fantasy
295,/book/show/295.Treasure_Island,Treasure Island,Robert Louis Stevenson,https://www.goodreads.com/author/show/854076.Robert_Louis_Stevenson,76040,9780753453803,3.83,390390,11273,311,2001,Classics
10818853,/book/show/10818853-fifty-shades-of-grey,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,https://www.goodreads.com/author/show/4725841.E_L_James,75201,9781612130293,3.66,1888641,78245,356,2011,Romance
40611463,/book/show/40611463-the-clan-of-the-cave-bear,The Clan of the Cave Bear,Jean M. Auel,https://www.goodreads.com/author/show/861.Jean_M_Auel,75143,null,4.05,224386,6443,516,2016,Historical
2696,/book/show/2696.The_Canterbury_Tales,The Canterbury Tales,Geoffrey Chaucer,https://www.goodreads.com/author/show/1838.Geoffrey_Chaucer,73639,9780140424386,3.50,185463,3240,521,2003,Classics
62291,/book/show/62291.A_Storm_of_Swords,"A Storm of Swords (A Song of Ice and Fire, #3)",George R.R. Martin,https://www.goodreads.com/author/show/346732.George_R_R_Martin,72664,9780553573428,4.54,652128,21961,1177,2003,Fantasy
7069,/book/show/7069.The_World_According_to_Garp,The World According to Garp,John Irving,https://www.goodreads.com/author/show/3075.John_Irving,72612,9780345915597,4.09,202030,5377,610,1999,Fiction
10799,/book/show/10799.A_Farewell_to_Arms,A Farewell to Arms,Ernest Hemingway,https://www.goodreads.com/author/show/1455.Ernest_Hemingway,72413,9780099910107,3.81,257878,9403,293,2004,Classics
58696,/book/show/58696.David_Copperfield,David Copperfield,Charles Dickens,https://www.goodreads.com/author/show/239579.Charles_Dickens,71690,null,3.99,195378,6323,882,2004,Classics
29844228,/book/show/29844228-thirteen-reasons-why,Thirteen Reasons Why,Jay Asher,https://www.goodreads.com/author/show/569269.Jay_Asher,71255,9781595147882,3.93,754491,51512,352,2016,Young Adult
